mol_id,title,num_confs,has_sites
10088,Z1614047125,10,1
10089,Z1618331058,6,1
10090,Z1461647085,10,1
10091,Z1286793659,10,1
10092,Z649170736,10,1
10093,Z1185545852,10,1
10094,Z1185545852,10,1
10095,Z1690318437,10,1
10096,Z1690318437,10,1
10097,Z1516480241,10,1
10098,Z1516480241,10,1
10099,Z1618173498,10,1
10100,Z1630743220,10,1
10101,Z873179770,10,1
10102,Z1652225863,10,1
10103,Z1572494493,10,1
10104,Z1572494493,10,1
10105,Z1722780277,10,1
10106,Z1722780277,10,1
10107,Z1603372632,10,1
10108,Z1666161110,10,1
10109,Z1252594776,10,1
10110,Z1252594776,10,1
10111,Z1252594776,10,1
10112,Z1619905278,10,1
10113,Z1139453304,10,1
10114,Z1139453304,10,1
10115,Z399727988,10,1
10116,Z1563254149,10,1
10117,Z910833944,10,1
10118,Z1832765278,10,1
10119,Z1558567334,10,1
10120,Z1261487982,10,1
10121,Z1261487982,10,1
10122,Z1636422626,10,1
10123,Z1335413497,10,1
10124,Z1367596899,10,1
10125,Z1272416234,10,1
10126,Z1669108090,10,1
10127,Z1494985054,10,1
10128,Z1139321500,10,1
10129,Z1513500581,10,1
10130,Z1348432059,10,1
10131,Z1151439870,10,1
10132,Z751675494,10,1
10133,Z751675494,10,1
10134,Z1631620560,10,1
10135,Z1187013609,10,1
10136,Z1446847682,10,1
10137,Z1446847682,10,1
10138,Z1229949153,10,1
10139,Z1404824614,10,1
10140,Z1567780754,10,1
10141,Z1567780754,10,1
10142,Z769332534,10,1
10143,Z1203890373,10,1
10144,Z1158213173,10,1
10145,Z1317971336,10,1
10146,Z1139337711,10,1
10147,Z955300494,10,1
10148,Z908012464,10,1
10149,Z1514249718,10,1
10150,Z1514249718,10,1
10151,Z1139326541,10,1
10152,Z1139216112,10,1
10153,Z1139339119,10,1
10154,Z1139339119,10,1
10155,Z909765418,10,1
10156,Z1147320839,10,1
10157,Z1147320839,10,1
10158,Z1127157465,10,1
10159,Z1533574513,10,1
10160,Z1180221251,10,1
10161,Z1180221251,10,1
10162,Z1529130324,10,1
10163,Z1587197805,10,1
15001,Z1546709225,10,1
15002,SAR405838,10,1
15003,SAR405838,10,1
15004,Z1646493471,10,1
15005,Z1646493471,10,1
15006,Z1653841387,10,1
15007,Z1653841387,10,1
15008,Z1619967838,10,1
15009,Z1766027310,10,1
15010,Z1630370312,10,1
15011,Z1609728930,10,1
15012,Z142904444,10,1
15013,Z1677751201,10,1
15014,Z1261264691,10,1
15015,Z736838316,10,1
15016,Z920771228,10,1
15017,Z434248608,10,1
15018,Z1191320581,10,1
15019,Z1572493273,10,1
15020,Z1572493273,10,1
15021,Z1626869727,10,1
15022,Z1627333241,10,1
15023,Z1625866671,10,1
15024,Z1625866671,10,1
