mol_id,title,num_confs,has_sites,b_lp_Chiralities_Consistent,i_epik_Tot_Q,i_epik_Tot_abs_Q,i_f3d_flags,i_lp_mmshare_version,i_m_ct_format,i_m_source_file_index,i_mol_phasedb_index,r_epik_Charging_Adjusted_Penalty,r_epik_Ionization_Penalty,r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Neutral,r_epik_State_Penalty,r_f3d_energy,r_f3d_relative_energy,r_lp_Energy,r_lp_tautomer_probability,s_epik_Chemistry_Notes,s_epik_cmdline,s_epik_input,s_lp_Force_Field,s_lp_Variant,s_lp_label,s_m_source_file,s_phase_Unique_SMILES,s_phase_variant,s_st_Chirality_1,s_st_Chirality_2,s_st_Chirality_3,s_st_Chirality_4,s_st_Chirality_5,s_st_Chirality_6,s_st_EZ_1
134,Z1439633515,10,1,1,1,1,0,57141,2,106,134,0.919341299335498,0.2568,0.2566,0.0002,0.6627999999999999,10.18841,0,11.39349,0.499834013824987,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIMl0xW0NIMl1bQ0hdMWMobjIpbmMoW2NIXWMyW0NIM10pW05IXVtDQEBIXShbQ0gyXVtDSDJdW0NIMl0zKWMoYzM0KVtuSF1uW2NIXTQ=,OPLS_2005,Z1439633515-4,106_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,C1CC1c([nH+]2)nc(cc2C)N[C@H](CCC3)c(c34)[nH]nc4,Z1439633515-2,6_R_5_14_7_27,NULL,NULL,NULL,NULL,NULL,NULL
135,Z1439633515,10,1,1,0,0,0,57141,2,106,135,1.05087637533464,0.6205000000000001,0,0.6205000000000001,1.0509,8.108650000000001,0,5.506795,0.499999895800022,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIMl0xW0NIMl1bQ0hdMWMobjIpbmMoW2NIXWMyW0NIM10pW05IXVtDQEBIXShbQ0gyXVtDSDJdW0NIMl0zKWMoYzM0KVtuSF1uW2NIXTQ=,OPLS_2005,Z1439633515-6,106_sdstereoexpander_1_neutralizer_1_epik_3_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,C1CC1c(n2)nc(cc2C)N[C@H](CCC3)c(c34)[nH]nc4,Z1439633515-3,6_R_5_14_7_27,NULL,NULL,NULL,NULL,NULL,NULL
136,Z1439633515,10,1,1,0,0,0,57141,2,106,136,1.07604676744158,0.6878,0,0.6878,1.076,8.48452,0,3.880655,0.499999895800022,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIMl0xW0NIMl1bQ0hdMWMobjIpbmMoW2NIXWMyW0NIM10pW05IXVtDQEBIXShbQ0gyXVtDSDJdW0NIMl0zKWMoYzM0KVtuSF1uW2NIXTQ=,OPLS_2005,Z1439633515-7,106_sdstereoexpander_1_neutralizer_1_epik_4_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,C1CC1c(n2)nc(cc2C)N[C@@H](CCC3)c(c34)n[nH]c4,Z1439633515-4,6_S_5_14_7_27,NULL,NULL,NULL,NULL,NULL,NULL
137,Z1669674155,10,1,1,0,0,0,57141,2,107,137,0,0,0,0,-0,89.94195000000001,0,32.468077,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W09IXVtDSDJdW0NIXShbQ0gyXVtPSF0pW05IXUMoPU8pQzEoW0NIMl1bQ0gyXVtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXWMoQ2wpW2NIXVtjSF0y,OPLS_2005,Z1669674155-1,107_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,OCC(CO)NC(=O)C1(CCCC1)Cc2ccc(Cl)cc2,Z1669674155-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,Z1413132614,10,1,1,0,0,0,57141,2,108,138,0.007920198093746739,0.0094,0,0.0094,0.007900000000000001,134.93332,0,41.295856,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMW5uKFtDSDNdKWMoW0NIM10pYzFPW0NIMl1DKD1PKU4yW0NAQEhdKFtDSDNdKVtDSDJdW0NIMl1OKFtDSDNdKWMoYzIzKVtjSF1bY0hdW2NIXVtjSF0z,OPLS_2005,Z1413132614-2,108_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,Cn(n1)c(C)c(c1C)OCC(=O)N2[C@H](C)CCN(C)c(c23)cccc3,Z1413132614-1,24_R_13_23_25_48,NULL,NULL,NULL,NULL,NULL,NULL
139,Z1527834953,10,1,1,0,0,0,57141,2,109,139,0,0,0,0,-0,62.87227000000004,0,39.059086,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1jKFtDSDNdKVtjSF1jKFtjSF0xKS1uMm5jKFtDSDNdKVtjSF1jMltOSF1DKD1PKWMoW2NIXVtjSF0zKVtjSF1jKGMzNClbQ0gyXVtDSDJdQyg9TylONFtDSDNd,OPLS_2005,Z1527834953-1,109_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,C1CC(=O)N(C)c(c12)ccc(c2)C(=O)Nc(cc3C)n(n3)-c(c4)cc(C)cc4C,Z1527834953-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,Z989735816,10,1,1,1,1,0,57141,2,110,140,0.428535455109513,0.016,0.016,0,0.4126,1033.63142,0,16.074059,0.5,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,TzFbQ0gyXVtDSDJdT2MoYzEyKVtjSF1bY0hdW2NIXWMyW0NIMl1OM1tDSDJdW0NIMl1bQ0hdKFtDSDJdW0NIMl0zKWM0W2NIXVtjSF1uW25IXTQ=,OPLS_2005,Z989735816-1,110_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,O1CCOc(c12)cccc2C[N@H+](CC3)CC[C@@H]3c4cc[nH]n4,Z989735816-1,5_ANR_4_6_15_44,8_ANS_7_9_14_32,NULL,NULL,NULL,NULL,NULL
141,Z989735816,10,1,1,1,1,0,57141,2,110,141,0.464608037972959,0.0199,0.0198,0.0001,0.4448,1036.41414,0,21.192863,0.5,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,TzFbQ0gyXVtDSDJdT2MoYzEyKVtjSF1bY0hdW2NIXWMyW0NIMl1OM1tDSDJdW0NIMl1bQ0hdKFtDSDJdW0NIMl0zKWM0W2NIXVtjSF1uW25IXTQ=,OPLS_2005,Z989735816-3,110_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,O1CCOc(c12)cccc2C[N@H+](CC3)CC[C@@H]3c4ccn[nH]4,Z989735816-2,5_ANR_4_6_15_44,8_ANS_7_9_14_32,NULL,NULL,NULL,NULL,NULL
142,Z1390565365,10,1,1,0,0,0,57141,2,111,142,0,0,0,0,-0,159.37552,0,24.855877,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0hdKFtDSDNdKVtDSDJdW0NASF0oW0NIM10pT1tDSDJdW0NIMl1DKD1PKU4oW0NIMl1bQ0gyXU8xKWMoYzEyKVtjSF1bY0hdW2NIXW4y,OPLS_2005,Z1390565365-1,111_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,CC(C)C[C@H](C)OCCC(=O)N1CCOc(c12)nccc2,Z1390565365-1,5_S_7_4_6_31,NULL,NULL,NULL,NULL,NULL,NULL
143,Z645023274,10,1,1,1,1,0,57141,2,112,143,0.171987430590032,0.08599999999999999,0.08599999999999999,0,0.08599999999999999,1120.37263,0,57.831958,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11OMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKUMoPU8pW0NIXTJbQ0gyXVtDSDJdTihbQ0gyXVtDSDJdMiljKG5bY0hdbjMpYyhjMzQpW2NIXVtjSF1zNA==,OPLS_2005,Z645023274-1,112_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,C1C[NH+](C)CCN1C(=O)C2CCN(CC2)c3ncnc(c34)scc4,Z645023274-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,Z645023274,10,1,1,0,0,0,57141,2,112,144,1.18600561595585,1.186,0,1.186,1.186,116.92302,0,49.498209,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11OMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKUMoPU8pW0NIXTJbQ0gyXVtDSDJdTihbQ0gyXVtDSDJdMiljKG5bY0hdbjMpYyhjMzQpW2NIXVtjSF1zNA==,OPLS_2005,Z645023274-2,112_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,C1CN(C)CCN1C(=O)C2CCN(CC2)c3ncnc(c34)scc4,Z645023274-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,Z1225086569,10,1,1,0,0,0,57141,2,113,145,0,0,0,0,-0,80.92925,0,33.996745,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0BIXTFbQ0gyXVtDSDJdW0NIMl1bQ0gyXU4xQyg9TylbQ0gyXVtDSDJdW05IXUMoPU8pW0NIMl1bQ0BASF0oW0NIMl1bQ0gyXU8yKWMoYzIzKVtjSF1bY0hdW2NIXVtjSF0z,OPLS_2005,Z1225086569-1,113_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1cccc(c12)OCC[C@@H]2CC(=O)NCCC(=O)N3CCCC[C@@H]3C,Z1225086569-1,2_S_7_3_1_29,16_R_25_15_17_45,NULL,NULL,NULL,NULL,NULL
146,Z1135228423,10,1,1,2,2,0,57141,2,114,146,1.0284850500968,0.3355,0.3355,0,0.6929999999999999,1050.73614,0,20.869968,0.5,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11OMVtDSDJdW0NIMl1PW0NAQEhdKFtDSDJdMSlbQ0gyXVtOSF1bQ0gyXWMyW2NIXVtuSF1uYzItYzNbY0hdW2NIXVtjSF1zMw==,OPLS_2005,Z1135228423-4,114_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_4,phasedb_3-LIGPREP-001-in.maegz,s1cccc1-c(n[nH]c2)c2C[NH2+]C[C@H]3C[N@@H+](C)CCO3,Z1135228423-1,2_S_20_3_1_42,6_S_5_20_7_29,NULL,NULL,NULL,NULL,NULL
147,Z1135228423,10,1,1,2,2,0,57141,2,114,147,1.0284850500968,0.3355,0.3355,0,0.6929999999999999,1049.46993,0,19.024658,0.5,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11OMVtDSDJdW0NIMl1PW0NAQEhdKFtDSDJdMSlbQ0gyXVtOSF1bQ0gyXWMyW2NIXVtuSF1uYzItYzNbY0hdW2NIXVtjSF1zMw==,OPLS_2005,Z1135228423-8,114_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_4,phasedb_3-LIGPREP-001-in.maegz,s1cccc1-c([nH]nc2)c2C[NH2+]C[C@H]3C[N@@H+](C)CCO3,Z1135228423-2,2_S_20_3_1_42,6_S_5_20_7_29,NULL,NULL,NULL,NULL,NULL
148,Z1135228423,10,1,1,1,1,0,57141,2,114,148,0.995401754670755,0.5847,0.009900000000000001,0.5748,0.9855,66.81461,0,17.938744,0.5,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11OMVtDSDJdW0NIMl1PW0NAQEhdKFtDSDJdMSlbQ0gyXVtOSF1bQ0gyXWMyW2NIXVtuSF1uYzItYzNbY0hdW2NIXVtjSF1zMw==,OPLS_2005,Z1135228423-10,114_sdstereoexpander_1_neutralizer_1_epik_3_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,s1cccc1-c(n[nH]c2)c2C[NH2+]C[C@H]3CN(C)CCO3,Z1135228423-3,6_S_5_20_7_29,NULL,NULL,NULL,NULL,NULL,NULL
149,Z1135228423,10,1,1,1,1,0,57141,2,114,149,0.995401754670755,0.5847,0.009900000000000001,0.5748,0.9855,68.32913000000001,0,17.474502,0.5,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11OMVtDSDJdW0NIMl1PW0NAQEhdKFtDSDJdMSlbQ0gyXVtOSF1bQ0gyXWMyW2NIXVtuSF1uYzItYzNbY0hdW2NIXVtjSF1zMw==,OPLS_2005,Z1135228423-11,114_sdstereoexpander_1_neutralizer_1_epik_4_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,s1cccc1-c([nH]nc2)c2C[NH2+]C[C@@H]3CN(C)CCO3,Z1135228423-4,6_R_5_20_7_29,NULL,NULL,NULL,NULL,NULL,NULL
150,Z1139479341,10,1,1,1,1,0,57141,2,115,150,0.189721881561812,0.0951,0.0949,0.0002,0.0949,33.94949,0,30.501474,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,bjFbY0hdW2NIXVtjSF1jKGMxMilbY0hdYyhGKVtjSF1jMltDSDJdTjNbQ0gyXVtDSDJdW0NIMl1bQ0BASF0zW0NIMl1uNFtjSF1bY0hdW2NIXW40,OPLS_2005,Z1139479341-4,115_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_4,phasedb_3-LIGPREP-001-in.maegz,n1cccn1C[C@@H]2CCC[N@H+]2Cc(cc(F)c3)c(c34)nccc4,Z1139479341-1,6_S_10_5_7_43,10_S_6_11_9_33,NULL,NULL,NULL,NULL,NULL
151,Z1139479341,10,1,1,0,0,0,57141,2,115,151,1.13218123059868,1.1329,0,1.1329,1.1322,34.9747,0,32.367514,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,bjFbY0hdW2NIXVtjSF1jKGMxMilbY0hdYyhGKVtjSF1jMltDSDJdTjNbQ0gyXVtDSDJdW0NIMl1bQ0BASF0zW0NIMl1uNFtjSF1bY0hdW2NIXW40,OPLS_2005,Z1139479341-6,115_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,n1cccn1C[C@@H]2CCCN2Cc(cc(F)c3)c(c34)nccc4,Z1139479341-2,10_S_6_11_9_33,NULL,NULL,NULL,NULL,NULL,NULL
152,Z1139567792,10,1,1,1,1,0,57141,2,116,152,0.056924055977389,0.0612,0.0569,0.0042,-0,55.81481,0,12.468789,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1ubihbY0hdMSlbQ0gyXVtDSDJdW05IXVtDSDJdYzJbY0hdW2NIXVtjSF1bY0hdYzJPW0NIMl1jM1tjSF1bY0hdbltjSF1bY0hdMw==,OPLS_2005,Z1139567792-1,116_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,Cc1cnn(c1)CC[NH2+]Cc2c(cccc2)OCc3ccncc3,Z1139567792-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,Z1139321259,10,1,1,0,0,0,57141,2,117,153,0,0.0007,0,0.0007,-0,38.3841,0,33.424037,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1ubihbY0hdMSlbQ0gyXVtDQEhdMltDSDJdW0NIMl1bQ0gyXU4yQyg9TylbQ0gyXWMoW2NIXVtuSF0zKWMoYzM0KVtjSF1bY0hdW2NIXVtjSF00,OPLS_2005,Z1139321259-1,117_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1cccc(c12)[nH]cc2CC(=O)N3CCC[C@@H]3Cn(c4)ncc4C,Z1139321259-1,7_R_11_6_8_32,NULL,NULL,NULL,NULL,NULL,NULL
154,Z273231424,10,1,1,1,1,0,57141,2,118,154,0.366828788567576,0.1834,0.1834,0,0.1834,970.17761,0,20.81186,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXWMxbmMoW2NIXXMxKVtDSDJdTjJbQ0gyXVtDSDJdTihbQ0gyXVtDSDJdMiljM25bY0hdW2NIXVtjSF1jM0MjTg==,OPLS_2005,Z273231424-1,118_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1ccnc(c1C#N)N2CC[NH+](CC2)Cc3csc(n3)CC,Z273231424-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,Z273231424,10,1,1,0,0,0,57141,2,118,155,0.784079540272353,0.7845,0,0.7845,0.7841,49.31361,0,28.405565,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXWMxbmMoW2NIXXMxKVtDSDJdTjJbQ0gyXVtDSDJdTihbQ0gyXVtDSDJdMiljM25bY0hdW2NIXVtjSF1jM0MjTg==,OPLS_2005,Z273231424-2,118_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1ccnc(c1C#N)N(CC2)CCN2Cc3csc(n3)CC,Z273231424-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,Z1127980417,10,1,1,0,0,0,57141,2,119,156,0,0,0,0,-0,184.14736,0,21.135155,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W2NIXTFbY0hdW2NIXVtjSF1jKGMxMilbQ0gyXVtDQEBIXShOKFtDSDJdMilDKD1PKVtDSDNdKUMoPU8pW05IXVtDQEBIXShbQ0gyXVtDSDJdW0NIMl0zKWMoYzM0KVtjSF1bY0hdbzQ=,OPLS_2005,Z1127980417-1,119_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1cccc(c12)CN(C(=O)C)[C@H](C2)C(=O)N[C@H]3CCCc(c34)occ4,Z1127980417-1,13_R_4_14_12_37,17_S_16_25_18_39,NULL,NULL,NULL,NULL,NULL
157,Z1142723470,10,1,1,0,0,0,57141,2,120,157,0.009180721276982421,0.0097,0,0.0097,0.0092,31.90867,0,-8.818652999999999,1,"This compound contains an electron-poor aromatic ring that is susceptible to covalent hydrolysis at low pH, typically resulting in measured values for nitrogen ring protonation that are around two units higher than predicted values.",J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11PYzFbY0hdW2NIXW5jKG4xKU4oW0NIMl1bQ0gyXTIpW0NIMl1jKGMyMyluYyhuW2NIXTMpW0NIXShbQ0gzXSlbQ0gzXQ==,OPLS_2005,Z1142723470-1,120_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,CC(C)c(nc1)nc(c12)CN(CC2)c(n3)nccc3OC,Z1142723470-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,Z1014179830,10,1,1,0,0,0,57141,2,121,158,0.410679838952604,0,0,0,0.4107,113.00873,0,49.239463,0.5,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11PYzFbY0hdW2NIXWMoW2NIXWMxT1tDSDNdKVtDSDJdW0NIMl1bQ0BIXTJbQ0gyXVtDSDJdW0NIMl1bQ0gyXU4yQyg9TyljM1tjSF1bY0hdW25IXW4z,OPLS_2005,Z1014179830-1,121_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,n1[nH]ccc1C(=O)N2CCCC[C@@H]2CCc3cc(OC)c(cc3)OC,Z1014179830-1,9_R_14_8_10_36,NULL,NULL,NULL,NULL,NULL,NULL
